"ds_entidade";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Ano";"Receita líquida de vendas";"Custo direto de produção - Total";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"Receita líquida de vendas (em valores de 2019)";"Custo direto de produção - Total (em valores de 2019)";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção (em valores de 2019)";"mkp"
"Sub_Setor";"24.4 Metalurgia dos metais não-ferrosos";"2007";"31878277";"20992393";"1168257";"62130832";"40914220";"2276935";"1,43850821162737"
"Sub_Setor";"24.5 Fundição";"2007";"4279848";"2288582";"557285";"8341433";"4460451";"1086150";"1,50388194529119"
"Setor";"25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"2007";"51941138";"28841226";"5324515";"101233392";"56211613";"10377491";"1,52026961745100"
"Sub_Setor";"25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada";"2007";"8738044";"4609601";"1049940";"17030467";"8984122";"2046335";"1,54394923545920"
"Sub_Setor";"25.2 Fabricação de tanques, reservatórios metálicos e caldeiras";"2007";"3058115";"1775176";"296713";"5960273";"3459822";"578294";"1,47600329940455"
"Sub_Setor";"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais";"2007";"9442907";"4252619";"1288075";"18404246";"8288364";"2510461";"1,70428235163321"
"Sub_Setor";"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas";"2007";"7537368";"3594346";"821611";"14690347";"7005388";"1601322";"1,70684814186370"
"Sub_Setor";"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições";"2007";"748884";"319942";"122301";"1459577";"623568";"238365";"1,69337671822957"
"Sub_Setor";"25.9 Fabricação de produtos de metal não especificados anteriormente";"2007";"22415820";"14289543";"1745875";"43688482";"27850351";"3402714";"1,39789433615014"
"Setor";"26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"2007";"55477763";"36019854";"2073930";"108126281";"70202774";"4042094";"1,45634686750993"
"Sub_Setor";"26.1 Fabricação de componentes eletrônicos";"2007";"4168700";"2496130";"295299";"8124805";"4864963";"575538";"1,49339281063570"
"Sub_Setor";"26.2 Fabricação de equipamentos de informática e periféricos";"2007";"15387862";"10237100";"401275";"29990977";"19952130";"782086";"1,44644854124808"
"Sub_Setor";"26.3 Fabricação de equipamentos de comunicação";"2007";"19997198";"13769918";"568532";"38974583";"26837600";"1108070";"1,39465548926139"
"Sub_Setor";"26.4 Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo";"2007";"9982342";"6748891";"293411";"19455606";"13153603";"571859";"1,41748280604836"
"Sub_Setor";"26.5 Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios";"2007";"4794511";"2207511";"429142";"9344512";"4302444";"836399";"1,81840803473191"
"Sub_Setor";"26.6 Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação";"2007";"813406";"397837";"65239";"1585330";"775385";"127151";"1,75652808610250"
"Sub_Setor";"26.7 Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos";"2007";"264756";"126319";"19181";"516010";"246196";"37384";"1,81962886597938"
"Sub_Setor";"26.8 Fabricação de mídias virgens, magnéticas e ópticas";"2007";"68989";"36147";"1851";"134460";"70451";"3608";"1,81559555766093"
"Setor";"27 Fabricação de máquinas, aparelhos e materiais elétricos";"2007";"44490534";"27533672";"3060312";"86712148";"53663187";"5964555";"1,45422492212848"
"Sub_Setor";"27.1 Fabricação de geradores, transformadores e motores elétricos";"2007";"11383697";"6349777";"907997";"22186850";"12375729";"1769688";"1,56848325671204"
"Sub_Setor";"27.2 Fabricação de pilhas, baterias e acumuladores elétricos";"2007";"1771714";"1114510";"140336";"3453074";"2172182";"273515";"1,41189755555662"
"Sub_Setor";"27.3 Fabricação de equipamentos para distribuição e controle de energia elétrica";"2007";"13445957";"9271266";"688443";"26206200";"18069718";"1341777";"1,35003512652830"
